lat,lon,effort_kwh,haul_count
58.45,5.55,539664.8333333334,50
63.7,5.7,539366.25,30
75.9,35.0,538880.25,1
60.3,0.8,538671.2833333332,16
71.9,16.4,538606.0166666666,19
75.95,34.0,537881.85,4
58.0,5.8,537865.4166666666,50
71.2,26.65,537385.5833333333,129
70.75,17.3,537201.0666666667,19
75.9,32.15,537170.1333333334,2
75.75,34.55,535891.2000000001,1
71.4,27.15,535719.8,18
71.15,21.8,535648.9333333335,43
72.1,16.0,535569.25,25
70.95,17.15,535063.3833333333,24
71.35,16.85,534455.6166666667,20
59.3,3.6,534378.65,14
70.65,31.65,534208.8,25
75.95,32.45,533929.5,4
62.55,5.05,533517.5333333333,51
59.5,3.35,533468.3833333334,26
60.45,3.25,533394.0333333334,22
59.05,3.5,533287.5999999999,22
56.65,4.4,532856.6666666666,20
74.4,16.3,532527.6000000001,14
58.45,4.0,532350.7,23
75.95,32.55,532086.6666666666,4
72.0,16.4,531846.25,17
61.35,2.4,531407.9833333333,11
58.65,9.45,531074.5,103
59.6,3.3,530798.6,30
58.4,4.15,530210.9666666667,29
75.85,33.85,529689.6,1
57.1,4.85,529236.3166666667,16
60.35,0.9,529116.4333333333,8
71.05,28.75,528866.2166666667,222
57.7,4.25,528460.3500000001,26
57.65,6.55,528174.2666666667,53
69.85,17.8,528009.8833333333,85
62.65,4.0,527863.8,27
59.35,3.55,527546.1000000001,19
76.05,33.35,527209.7333333334,5
72.1,16.1,525638.5166666666,17
57.2,5.4,525366.2999999999,23
58.15,4.85,525215.1000000001,39
61.2,2.1,524879.9333333332,20
66.15,6.35,524872.7666666666,12
71.15,26.75,524853.7499999999,160
60.25,0.75,524814.9166666667,10
62.3,1.15,523763.0999999999,29
57.75,5.9,523165.8499999999,34
70.4,17.3,523160.5333333333,23
63.15,5.4,523037.1166666668,135
58.0,8.1,522773.21666666656,65
