FID,id,the_geom,port,port_id,portcode,country,year,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex
portvesselsbytonnage.226692,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 500 to 999 gross tonnage,,,3
portvesselsbytonnage.226691,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,From 100 to 499 gross tonnage,,,2
portvesselsbytonnage.226690,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,Less than 100 gross tonnage,,,1
portvesselsbytonnage.226713,210,POINT (24.763247000000092 59.44785200000007),Tallinn,EETLL,EE_0EETLL,EE,2025,Total,,,0
portvesselsbytonnage.228630,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 30 000 to 39 999 gross tonnage,,,15
portvesselsbytonnage.228629,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 20 000 to 29 999 gross tonnage,,,14
portvesselsbytonnage.228628,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 10 000 to 19 999 gross tonnage,,,13
portvesselsbytonnage.228627,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 9 000 to 9 999 gross tonnage,,,12
portvesselsbytonnage.228626,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 8 000 to 8 999 gross tonnage,,,11
portvesselsbytonnage.228625,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 7 000 to 7 999 gross tonnage,,,10
portvesselsbytonnage.228624,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 6 000 to 6 999 gross tonnage,,,9
portvesselsbytonnage.228623,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.228622,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 4 000 to 4 999 gross tonnage,,,7
portvesselsbytonnage.228621,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 3 000 to 3 999 gross tonnage,,,6
portvesselsbytonnage.228620,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 2 000 to 2 999 gross tonnage,,,5
portvesselsbytonnage.228619,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 1 000 to 1 999 gross tonnage,,,4
portvesselsbytonnage.228618,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 500 to 999 gross tonnage,,,3
portvesselsbytonnage.228617,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,From 100 to 499 gross tonnage,,,2
portvesselsbytonnage.228631,211,POINT (24.6629028320001 59.45288085900006),Vene-Balti,EEVEB,EE_0EEVEB,EE,2025,Total,,,0
portvesselsbytonnage.228807,212,POINT (23.508031999999957 58.57616700000017),Virtsu,EEVIR,EE_0EEVIR,EE,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.228806,212,POINT (23.508031999999957 58.57616700000017),Virtsu,EEVIR,EE_0EEVIR,EE,2025,From 4 000 to 4 999 gross tonnage,,,7
portvesselsbytonnage.228808,212,POINT (23.508031999999957 58.57616700000017),Virtsu,EEVIR,EE_0EEVIR,EE,2025,Total,,,0
portvesselsbytonnage.365128,258,POINT (19.61730957000009 60.19628906200012),Eckerö,FIECK,FI_0FIECK,FI,2025,From 10 000 to 19 999 gross tonnage,264,3263,13
portvesselsbytonnage.365127,258,POINT (19.61730957000009 60.19628906200012),Eckerö,FIECK,FI_0FIECK,FI,2025,From 6 000 to 6 999 gross tonnage,,,9
portvesselsbytonnage.365126,258,POINT (19.61730957000009 60.19628906200012),Eckerö,FIECK,FI_0FIECK,FI,2025,From 3 000 to 3 999 gross tonnage,,,6
portvesselsbytonnage.365129,258,POINT (19.61730957000009 60.19628906200012),Eckerö,FIECK,FI_0FIECK,FI,2025,Total,264,3263,0
portvesselsbytonnage.369136,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 150 000 to 199 999 gross tonnage,,,20
portvesselsbytonnage.369135,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 100 000 to 149 999 gross tonnage,,,19
portvesselsbytonnage.369134,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 80 000 to 99 999 gross tonnage,,,18
portvesselsbytonnage.369133,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 50 000 to 79 999 gross tonnage,352,18539,17
portvesselsbytonnage.369132,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 40 000 to 49 999 gross tonnage,498,23264,16
portvesselsbytonnage.369131,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 30 000 to 39 999 gross tonnage,499,17921,15
portvesselsbytonnage.369130,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 20 000 to 29 999 gross tonnage,195,4334,14
portvesselsbytonnage.369129,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 10 000 to 19 999 gross tonnage,116,1787,13
portvesselsbytonnage.369128,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 9 000 to 9 999 gross tonnage,,,12
portvesselsbytonnage.369127,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 8 000 to 8 999 gross tonnage,6,50,11
portvesselsbytonnage.369126,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 7 000 to 7 999 gross tonnage,6,47,10
portvesselsbytonnage.369125,259,POINT (24.923563000000115 60.15564750000004),Helsinki,FIHEL,FI_0FIHEL,FI,2025,From 6 000 to 6 999 gross tonnage,4,26,9
