FID,country,platformid,current_status,name,category,function,operator,location_blocks,primary_production,weight_sub,weight_top,production_start,valid_from,valid_to,water_depth,coast_dist,remarks,the_geom
platforms.753,Norway,506928,Operational,25/1-S SKOGUL,,,Aker BP ASA,,,,,,20200301,,110,159611.559861,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.1825583000000393 59.79407220000007)
platforms.754,Norway,286897,Under construction,VIGDIS-Y,Subsea steel,Subsea,Equinor Energy AS,NO_34/10,Crude Oil,,,,,,140,126585.422629,SUBSEA STRUCTURE; Y-CONNECTION,POINT (2.1722639000000754 61.18467780000003)
platforms.755,Norway,280065,Closed down,30/6-B-51 H OSEBERG B-51,Subsea steel,Subsea,Equinor Energy AS,NO_30/6,Crude Oil,,,,19960820,,110,108594.794269,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.7402528000000643 60.53329170000006)
platforms.756,Norway,452436,Operational,SNORRE SEP V,,,Equinor Energy AS,,,,,,20201212,,327,131198.078689,MULTI WELL TEMPLATE; OIL PRODUCER - WATER/GAS INJECTION,POINT (2.1484528000000296 61.49610830000006)
platforms.759,Norway,451185,Under construction,FENJA H,,,Neptune Energy Norge AS,,,,,,,,325,79497.8345151,MULTI WELL TEMPLATE; GAS INJECTOR - WATER INJECTION,POINT (6.7482972000000245 64.02993610000004)
platforms.760,Norway,436279,Operational,GULLFAKS SØR P,,,Equinor Energy AS,,,,,,20150727,,135,121505.986555,MULTI WELL TEMPLATE; GAS INJECTION,POINT (2.2519444000000703 61.08055560000008)
platforms.761,Norway,278973,Operational,ÅSGARD Z,Subsea steel,Subsea,Equinor Energy AS,NO_6407/2,Crude Oil,,,,20001004,,245,121514.273959,MULTI WELL TEMPLATE; GAS PRODUCER,POINT (7.622138900000039 64.97080560000006)
platforms.762,Norway,284013,Operational,25/11-C-3 H BALDER,,,Vår Energi ASA,,,,,,19991014,,127,139427.789417,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.409036100000037 59.18347780000005)
platforms.763,Norway,278021,Operational,STATFJORD ØST M,Subsea steel,Subsea,Equinor Energy AS,NO_33/9,Crude Oil,,,,19940923,,195,137678.280234,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (1.9998972000000208 61.34125560000007)
platforms.764,Norway,715341,Operational,16/4 SOLVEIG BB,,,Lundin Energy Norway AS,,,,,,20210930,,100,166012.961169,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.199491700000067 58.68424720000007)
platforms.765,Norway,726653,Under construction,HOD B,,,Aker BP ASA,,,,,,,,72,284505.041325,JACKET 4 LEGS; WELLHEAD,POINT (3.4653417000000672 56.18081110000003)
platforms.767,Norway,452492,Operational,SNORRE SEP W,,,Equinor Energy AS,,,,,,20201212,,329,132850.409297,MULTI WELL TEMPLATE; OIL PRODUCER - WATER/GAS INJECTION,POINT (2.1230028000000516 61.514116700000045)
platforms.768,Norway,282165,Decommissioned,LILLE-FRIGG A,Subsea steel,Subsea,Aker BP ASA,NO_25/2,Natural Gas,,,,19940501,,110,144497.535759,SUBSEA STRUCTURE; MANIFOLD STATION,POINT (2.385077800000033 59.97235280000007)
platforms.769,Norway,710400,Operational,FROSK TEST PRODUCER,,,Aker BP ASA,,,,,,20190826,,120,171632.691667,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.8320333000000346 59.34139170000003)
platforms.770,Norway,281101,Decommissioned,ALBUSKJELL A-FL,Fixed steel,Other,ConocoPhillips Skandinavia AS,NO_1/6,Natural Gas,,,,19790501,,70,264963.684367,JACKET TRIPOD,POINT (2.941222200000027 56.64101940000006)
platforms.771,Norway,286393,Decommissioned,EKOFISK SBM-1,Other,Other,ConocoPhillips Skandinavia AS,NO_2/4,Crude Oil,,,,,,74,262655.301351,LOADING SYSTEM,POINT (3.212283300000024 56.55169440000003)
platforms.773,Norway,287065,Operational,NORPIPE Y,Subsea steel,Subsea,Gassco AS,NO_2/7,,,,,19980818,,69,264015.822017,SUBSEA STRUCTURE; Y-CONNECTION,POINT (3.3305028000000334 56.49036940000008)
platforms.774,Norway,403414,Operational,GJØA D,Subsea steel,Subsea,Neptune Energy Norge AS,NO_35/9,Crude Oil,,,,20101107,,350,33096.4036733,MULTI WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (3.9589222000000746 61.341322200000036)
platforms.775,Norway,728349,Operational,25/4-K-7,,,Aker BP ASA,,,,,,20200501,,119,162999.004523,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.0201583000000483 59.54770830000007)
platforms.776,Norway,287289,Operational,GULLFAKS T,Subsea steel,Subsea,Gassco AS,NO_34/10,,,,,20010201,,136,134261.025785,SUBSEA STRUCTURE; T-CONNECTION,POINT (2.016266700000074 61.096330600000044)
platforms.777,Norway,428267,Operational,24/6-B-5 Alvheim,,,Aker BP ASA,,,,,,20121201,,124,164671.884632,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.9897028000000319 59.54613610000007)
platforms.779,Norway,424989,Operational,VISUND NORD ITS,Fixed steel,Subsea,Equinor Energy AS,NO_34/8,Crude Oil,,,,20131105,,378,106992.20977,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (2.58912220000002 61.43502780000006)
platforms.1080,Norway,719936,Under construction,25/11 M4W BALDER,,,Vår Energi ASA,,,,,,,,125,144834.416211,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.3175556000000483 59.16563610000003)
platforms.780,Norway,281745,Operational,OSEBERG SØR J,Subsea steel,Subsea,Equinor Energy AS,NO_30/9,Crude Oil,,,,20050615,,101,105250.796782,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,POINT (2.9000778000000764 60.354488900000035)
platforms.781,Norway,285665,Operational,31/2-F-5 H TROLL F-5,Subsea steel,Subsea,Equinor Energy AS,NO_31/2,,,,,19950923,,317,65236.0485643,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (3.4241389000000595 60.76672220000006)
platforms.782,Norway,442024,Operational,IVAR AASEN,,,Aker BP ASA,,,,,,20161224,,113,156825.937106,JACKET 4 LEGS; PROCESSING - QUARTER - WELLHEAD,POINT (2.1981250000000614 58.92226940000006)
platforms.785,Norway,286841,Operational,EUROPIPE-SCP,Subsea steel,Subsea,Gassco AS,GERMANY_B/4,,,,,19951001,,36,243022.890368,SUBSEA STRUCTURE; T-CONNECTION,POINT (4.222622200000046 55.70697220000005)
platforms.786,Norway,439911,Operational,GULLFAKS OLS-2,,,Equinor Energy AS,NO_34/10,Crude Oil,,,,20140915,,136,123304.442654,LOADING SYSTEM; LOADING BOUY,POINT (2.2297278000000347 61.16725280000003)
platforms.789,Norway,286589,Decommissioned,STATFJORD-B-SPM,Other,Other,Equinor Energy AS,NO_33/12,Crude Oil,,,,19821105,,145,145101.133514,LOADING SYSTEM,POINT (1.8308333000000516 61.206944400000054)
platforms.790,Norway,450712,Operational,UTGARD,,,Equinor Energy AS,,,,,,20190916,,115,215830.074898,MULTI WELL TEMPLATE; GAS PRODUCER - WATER PRODUCER,POINT (1.550463900000068 58.36674440000007)
platforms.794,Norway,281549,Operational,34/7-I-10 H TORDIS I-10,Subsea steel,Subsea,Equinor Energy AS,NO_34/7,Crude Oil,,,,19991101,,200,130927.663295,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.1193278000000646 61.276297200000045)
platforms.795,Norway,720966,Under construction,JOHAN SVERDRUP P2,,,Equinor Energy AS,,,,,,,,114,140079.091642,JACKET 8 LEGS; PROCESSING,POINT (2.560383300000069 58.83765280000006)
platforms.796,Norway,281661,Operational,34/7-I-11 H TORDIS I-11,Subsea steel,Subsea,Equinor Energy AS,NO_34/7,Crude Oil,,,,19990101,,200,130924.194056,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.1193444000000454 61.276172200000076)
platforms.799,Norway,284685,Operational,6407/7-A-1 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73848.2951898,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (7.201522200000056 64.27098610000007)
platforms.802,Norway,729378,Operational,24/9-P-10 H,,,Aker BP ASA,,,,,,20170801,,123,165130.797348,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.967430600000057 59.49513610000008)
platforms.804,Norway,429693,Operational,24/9-P-6 AH Volund,Subsea steel,Subsea,Aker BP ASA,NO_24/7,Natural Gas,,,,20130124,,124,165234.876139,SINGLE WELL TEMPLATE; GAS PRODUCER - OIL PRODUCER,POINT (1.96576390000007 59.49590280000007)
platforms.805,Norway,434584,Operational,KNARR B,,,A/S Norske Shell,,,,,,20150316,,403,104140.224169,MULTI WELL TEMPLATE; WATER INJECTION,POINT (2.7469028000000435 61.79603060000005)
platforms.806,Norway,363581,Operational,GRANE SSIV,Subsea steel,Subsea,Equinor Energy AS,NO_25/11,,,,,20030923,,127,135168.178303,SUBSEA STRUCTURE; ISOLATION VALVE,POINT (2.4872806000000196 59.16741390000004)
platforms.807,Norway,272813,Decommissioned,GULLFAKS A-SPM 1,Other,Other,Equinor Energy AS,NO_34/10,Crude Oil,,,,19861221,,136,127443.975815,LOADING SYSTEM; OFFLOADING,POINT (2.157819400000051 61.19145000000003)
platforms.808,Norway,286477,Operational,ULA-Y,Subsea steel,Subsea,Aker BP ASA,NO_7/12,,,,,19900622,,70,233996.812798,SUBSEA STRUCTURE; Y-CONNECTION,POINT (2.8482389000000694 57.07926110000005)
platforms.809,Norway,435781,Operational,BØYLA,,,Aker BP ASA,,,,,,20150119,,120,171701.218116,MULTI WELL TEMPLATE; OIL PRODUCER - WATER INJECTION,POINT (1.830883300000039 59.34315830000003)
platforms.810,Norway,391161,Operational,6407/9-D-3 H,Subsea steel,Subsea,OKEA ASA,NO_6407/9,Crude Oil,,,,20080927,,254,63938.1141555,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.71272220000003 64.36088890000008)
platforms.811,Norway,451051,Under construction,BAUGE,,,Equinor Energy AS,,,,,,20201201,,282,71161.3792573,MULTI WELL TEMPLATE; OIL PRODUCER,POINT (7.461630600000035 64.35504720000006)
platforms.813,Norway,727915,Operational,24/6-B-6 KIS,,,Aker BP ASA,,,,,,20181001,,124,164758.863775,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (1.9880583000000343 59.54585560000004)
platforms.814,Norway,284769,Operational,6407/7-A-11 H,Subsea steel,Subsea,Equinor Energy AS,NO_6407/7,Crude Oil,,,,19971001,,330,73820.7682698,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (7.202416700000072 64.27108890000005)
platforms.815,Norway,283061,Operational,34/8-A-25 H/AH,Subsea steel,Subsea,Equinor Energy AS,NO_34/8,Crude Oil,,,,20030101,,335,113217.507566,SINGLE WELL TEMPLATE; OIL PRODUCER,POINT (2.4596306000000254 61.37005560000006)
platforms.816,Norway,287625,Operational,VESTERLED T,Subsea steel,Subsea,Gassco AS,UK_10009/12,,,,,20011001,,100,141323.986277,SUBSEA STRUCTURE; T-CONNECTION,POINT (1.318975000000023 59.64331390000007)
platforms.817,Norway,375130,Operational,25/4-J-2 H,Subsea steel,Subsea,Aker BP ASA,NO_25/4,Crude Oil,,,,20080608,,123,161509.115051,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.058555600000034 59.581561100000044)
platforms.818,Norway,283845,Closed down,25/11-B-14 H BALDER,,,Vår Energi ASA,,,,,,19991004,,127,141167.550071,SINGLE WELL TEMPLATE; WATER INJECTION,POINT (2.3794028000000367 59.17854170000004)
platforms.819,Norway,287597,Operational,TOR II Y,Subsea steel,Subsea,Equinor Energy AS,NO_32/1,,,,,20041001,,340,30891.8578676,SUBSEA STRUCTURE; Y-CONNECTION,POINT (4.060277800000051 60.84895830000005)
