FID,id,the_geom,port,port_id,portcode,country,year,tonnagesize,nofvessels,gross_tonnage__gt_thousand,tonnageindex
portvesselsbytonnage.167789,141,POINT (10.670104979999962 56.19647216800007),Ebeltoft,DKEBT,DK_0DKEBT,DK,2025,From 10 000 to 19 999 gross tonnage,,,13
portvesselsbytonnage.167788,141,POINT (10.670104979999962 56.19647216800007),Ebeltoft,DKEBT,DK_0DKEBT,DK,2025,From 7 000 to 7 999 gross tonnage,,,10
portvesselsbytonnage.167787,141,POINT (10.670104979999962 56.19647216800007),Ebeltoft,DKEBT,DK_0DKEBT,DK,2025,From 5 000 to 5 999 gross tonnage,,,8
portvesselsbytonnage.167786,141,POINT (10.670104979999962 56.19647216800007),Ebeltoft,DKEBT,DK_0DKEBT,DK,2025,From 3 000 to 3 999 gross tonnage,,,6
portvesselsbytonnage.167790,141,POINT (10.670104979999962 56.19647216800007),Ebeltoft,DKEBT,DK_0DKEBT,DK,2025,Total,,,0
portvesselsbytonnage.167905,142,POINT (10.306701660000044 56.98468017600004),Egense,DKEGN,DK_0DKEGN,DK,2025,From 100 to 499 gross tonnage,8770,914,2
portvesselsbytonnage.167906,142,POINT (10.306701660000044 56.98468017600004),Egense,DKEGN,DK_0DKEGN,DK,2025,Total,8770,914,0
portvesselsbytonnage.171991,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 40 000 to 49 999 gross tonnage,13,521,16
portvesselsbytonnage.171990,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 30 000 to 39 999 gross tonnage,17,603,15
portvesselsbytonnage.171989,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 20 000 to 29 999 gross tonnage,543,16122,14
portvesselsbytonnage.171988,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 10 000 to 19 999 gross tonnage,544,8575,13
portvesselsbytonnage.171987,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 9 000 to 9 999 gross tonnage,1,10,12
portvesselsbytonnage.171986,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 8 000 to 8 999 gross tonnage,1,9,11
portvesselsbytonnage.171985,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 7 000 to 7 999 gross tonnage,2,15,10
portvesselsbytonnage.171984,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 6 000 to 6 999 gross tonnage,11,73,9
portvesselsbytonnage.171983,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 5 000 to 5 999 gross tonnage,10,55,8
portvesselsbytonnage.171982,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 4 000 to 4 999 gross tonnage,74,350,7
portvesselsbytonnage.171981,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 3 000 to 3 999 gross tonnage,1055,3889,6
portvesselsbytonnage.171980,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 2 000 to 2 999 gross tonnage,185,426,5
portvesselsbytonnage.171979,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 1 000 to 1 999 gross tonnage,199,350,4
portvesselsbytonnage.171978,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 500 to 999 gross tonnage,32,20,3
portvesselsbytonnage.171977,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,From 100 to 499 gross tonnage,86,42,2
portvesselsbytonnage.171992,146,POINT (10.545471191000104 57.43829345700016),Frederikshavn,DKFDH,DK_0DKFDH,DK,2025,Total,2773,31061,0
portvesselsbytonnage.175646,148,POINT (9.752886000000046 55.5594215000001),Fredericia (Og Shell-Havnen),DKFRC,DK_0DKFRC,DK,2025,From 100 000 to 149 999 gross tonnage,,,19
portvesselsbytonnage.175645,148,POINT (9.752886000000046 55.5594215000001),Fredericia (Og Shell-Havnen),DKFRC,DK_0DKFRC,DK,2025,From 80 000 to 99 999 gross tonnage,6,488,18
